row_id,customer_id,snapshot_date,region,plan_type,acquisition_channel,autopay,tenure_months,monthly_fee,usage_hours_30d,usage_change_90d,support_tickets_90d,late_payments_6m,satisfaction_score,days_since_last_login,network_incidents_30d,leaked_churn_score,retention_offer_result_14d,churn_30d
S20260728-0004677,C01078,2024-04-01,north,basic,referral,yes,51,330.190000,36.090000,-0.123500,0,0,2.720000,9.120000,1,0.946800,cancelled,1
S20260728-0008781,C00382,2024-08-01,west,basic,referral,yes,15,30.290000,31.586000,0.002000,0,1,4.810000,10.680000,1,0.065900,no_contact,0
S20260728-0002344,C01145,2024-02-01,north,standard,referral,no,38,50.500000,8.387000,-0.028600,0,1,3.930000,10.710000,1,0.057200,no_contact,0
S20260728-0000265,C00266,2024-01-01,east,standard,organic,yes,46,48.900000,26.774000,0.098700,0,0,3.650000,12.000000,1,0.160200,no_contact,0
S20260728-0005466,C00667,2024-05-01,south,basic,partner,no,14,25.930000,22.554000,-0.147100,1,0,3.820000,7.500000,1,0.046600,no_contact,0
S20260728-0005671,C00872,2024-05-01,east,basic,advertising,yes,32,27.240000,18.027000,-0.088500,0,0,3.580000,2.760000,1,0.032100,no_contact,0
S20260728-0000700,C00701,2024-01-01,north,standard,organic,no,23,50.690000,21.069000,-0.155600,0,1,3.520000,17.490000,1,0.133500,no_contact,0
S20260728-0002257,C01058,2024-02-01,east,basic,organic,yes,45,28.470000,30.032000,,0,1,4.820000,6.020000,1,0.045800,no_contact,0
S20260728-0002750,C00351,2024-03-01,west,basic,advertising,yes,32,30.040000,24.401000,0.014800,0,0,3.780000,10.380000,0,0.056300,no_contact,0
S20260728-0005589,C00790,2024-05-01,east,basic,organic,yes,17,30.560000,25.082000,-0.114100,1,0,4.120000,3.570000,1,0.101100,no_contact,0
S20260728-0006346,C00347,2024-06-01,south,basic,organic,no,52,25.410000,31.393000,-0.329600,0,0,2.900000,12.300000,0,0.885500,cancelled,1
S20260728-0005425,C00626,2024-05-01,north,premium,organic,no,39,79.570000,8.191000,-0.022700,1,0,3.260000,10.620000,0,0.163400,no_contact,0
S20260728-0008212,C01013,2024-07-01,east,premium,partner,yes,40,79.580000,49.568000,-0.142700,2,0,3.210000,4.080000,2,0.149500,accepted_offer,0
S20260728-0006711,C00712,2024-06-01,north,basic,referral,yes,7,24.160000,23.924000,-0.245200,0,0,2.940000,6.680000,0,0.840600,cancelled,1
S20260728-0002536,C00137,2024-03-01,south,basic,referral,no,24,30.360000,24.224000,0.125800,2,0,2.470000,12.960000,2,0.853000,cancelled,1
S20260728-0001551,C00352,2024-02-01,west,basic,organic,yes,6,30.320000,22.847000,0.237600,0,0,4.870000,3.570000,0,0.103000,no_contact,0
S20260728-0009596,C01197,2024-08-01,south,basic,organic,yes,24,28.570000,37.846000,-0.222900,3,0,2.940000,6.640000,2,0.865200,cancelled,1
S20260728-0007847,C00648,2024-07-01,south,standard,organic,yes,8,48.650000,8.564000,-0.221800,1,0,2.850000,5.150000,2,0.044600,no_contact,0
S20260728-0006163,C00164,2024-06-01,west,basic,organic,yes,6,28.390000,51.191000,0.079700,0,0,3.300000,9.230000,0,0.063300,no_contact,0
S20260728-0003007,C00608,2024-03-01,west,standard,referral,no,32,47.690000,24.889000,-0.135300,0,1,2.460000,5.820000,0,0.169700,no_contact,0
S20260728-0001458,C00259,2024-02-01,north,standard,advertising,yes,44,44.880000,3.893000,-0.251900,0,0,2.850000,8.560000,0,0.000000,no_contact,0
S20260728-0008973,C00574,2024-08-01,south,basic,advertising,yes,35,31.990000,45.975000,-0.103700,0,0,3.910000,3.230000,0,0.049400,no_contact,0
S20260728-0003356,C00957,2024-03-01,south,basic,referral,yes,48,27.600000,,0.035600,3,0,2.910000,9.940000,2,0.927000,cancelled,1
S20260728-0002772,C00373,2024-03-01,south,standard,advertising,yes,3,52.050000,40.677000,-0.165300,2,0,3.000000,2.870000,1,0.115400,no_contact,0
S20260728-0000476,C00477,2024-01-01,south,basic,advertising,yes,35,27.940000,78.741000,-0.032400,1,0,,16.690000,0,0.141900,accepted_offer,0
S20260728-0003184,C00785,2024-03-01,north,basic,organic,no,34,28.750000,16.100000,-0.327200,2,1,4.710000,18.170000,1,0.175600,no_contact,0
S20260728-0005724,C00925,2024-05-01,south,standard,partner,yes,30,48.260000,48.672000,0.012000,0,0,3.450000,3.790000,0,0.065700,no_contact,0
S20260728-0006407,C00408,2024-06-01,west,premium,partner,yes,16,78.810000,6.028000,0.094800,0,0,,6.430000,0,0.000000,no_contact,0
S20260728-0005836,C01037,2024-05-01,south,basic,referral,no,14,30.860000,22.660000,-0.137300,0,0,4.860000,9.740000,0,0.955000,cancelled,1
S20260728-0001098,C01099,2024-01-01,south,standard,organic,no,10,50.260000,68.271000,0.047800,0,1,3.110000,4.820000,0,0.854800,cancelled,1
S20260728-0007317,C00118,2024-07-01,south,standard,referral,yes,14,420.020000,47.934000,0.104300,0,0,4.690000,15.290000,0,0.169600,no_contact,0
S20260728-0007290,C00091,2024-07-01,east,premium,advertising,no,19,79.030000,45.019000,-0.162100,0,0,3.770000,19.970000,0,0.090600,accepted_offer,0
S20260728-0000591,C00592,2024-01-01,north,standard,advertising,yes,5,49.120000,11.464000,-0.256700,2,1,3.380000,16.040000,1,0.054800,no_contact,0
S20260728-0002484,C00085,2024-03-01,south,premium,organic,yes,39,79.450000,24.345000,0.090800,1,0,2.670000,4.130000,2,0.151900,no_contact,0
S20260728-0002832,C00433,2024-03-01,south,basic,partner,yes,50,27.960000,40.357000,-0.237800,0,0,3.340000,3.870000,0,0.097600,no_contact,0
S20260728-0009204,C00805,2024-08-01,north,standard,organic,yes,24,49.720000,50.266000,-0.241700,0,0,3.660000,15.910000,2,0.265400,accepted_offer,0
S20260728-0009192,C00793,2024-08-01,east,standard,organic,yes,38,53.050000,23.572000,-0.015900,0,1,3.740000,5.020000,0,0.072000,no_contact,0
S20260728-0001329,C00130,2024-02-01,south,basic,partner,yes,12,25.400000,14.416000,-0.125600,1,0,,11.270000,1,0.010900,no_contact,0
S20260728-0000903,C00904,2024-01-01,south,standard,organic,no,34,48.130000,18.679000,0.381800,0,0,3.440000,6.820000,0,0.020400,no_contact,0
S20260728-0007916,C00717,2024-07-01,east,standard,,yes,51,46.940000,24.756000,-0.103000,0,0,3.920000,2.460000,0,0.083700,accepted_offer,0
S20260728-0006225,C00226,2024-06-01,east,basic,advertising,yes,10,27.280000,28.659000,-0.321400,3,1,2.160000,10.240000,2,0.212500,no_contact,0
S20260728-0007454,C00255,2024-07-01,east,standard,,no,44,49.150000,35.504000,-0.080400,1,0,4.390000,6.860000,1,0.157000,no_contact,0
S20260728-0002044,C00845,2024-02-01,north,premium,organic,no,49,80.750000,41.017000,0.153300,1,0,2.050000,6.660000,0,0.144700,no_contact,0
S20260728-0001228,C00029,2024-02-01,east,standard,organic,yes,7,47.830000,49.496000,0.168400,0,0,4.270000,2.360000,0,0.076500,no_contact,0
S20260728-0007498,C00299,2024-07-01,west,standard,advertising,yes,49,48.110000,15.189000,0.094900,0,0,,3.780000,0,0.105200,accepted_offer,0
S20260728-0008565,C00166,2024-08-01,east,basic,referral,no,14,30.490000,17.010000,-0.304200,1,1,3.120000,22.250000,1,0.896600,cancelled,1
S20260728-0002017,C00818,2024-02-01,north,premium,referral,no,10,80.180000,37.837000,0.108500,0,1,3.240000,6.490000,1,0.095500,no_contact,0
S20260728-0009239,C00840,2024-08-01,west,standard,organic,yes,11,47.540000,28.429000,-0.176100,1,0,3.630000,4.740000,0,0.081300,no_contact,0
S20260728-0002330,C01131,2024-02-01,east,standard,organic,yes,23,49.000000,30.901000,-0.010200,0,1,3.410000,5.130000,1,0.075600,no_contact,0
S20260728-0003860,C00261,2024-04-01,west,standard,partner,yes,18,52.630000,33.644000,-0.206400,0,0,4.320000,2.800000,0,0.000000,no_contact,0
S20260728-0002446,C00047,2024-03-01,south,basic,advertising,yes,47,26.990000,23.042000,0.130900,1,0,3.210000,5.840000,0,0.000000,no_contact,0
S20260728-0007254,C00055,2024-07-01,south,standard,referral,yes,8,48.190000,,-0.065900,0,1,4.070000,9.140000,1,0.044600,no_contact,0
S20260728-0005641,C00842,2024-05-01,west,standard,advertising,yes,31,48.210000,21.741000,-0.163800,0,1,3.380000,11.700000,0,0.032000,no_contact,0
S20260728-0009562,C01163,2024-08-01,north,basic,organic,yes,30,31.380000,16.097000,-0.077000,1,1,2.700000,6.020000,1,0.143200,accepted_offer,0
S20260728-0007421,C00222,2024-07-01,north,basic,advertising,yes,33,26.010000,7.120000,-0.276500,1,0,4.640000,15.750000,0,0.040800,no_contact,0
S20260728-0003683,C00084,2024-04-01,east,premium,organic,no,14,79.780000,24.709000,-0.299200,2,0,3.750000,12.290000,1,0.041700,no_contact,0
S20260728-0002544,C00145,2024-03-01,west,standard,partner,yes,29,47.990000,15.753000,-0.191900,0,1,3.900000,12.270000,0,0.000000,no_contact,0
S20260728-0006135,C00136,2024-06-01,south,basic,organic,no,7,29.950000,48.305000,-0.225500,1,0,4.170000,9.290000,1,0.909900,cancelled,1
S20260728-0001870,C00671,2024-02-01,west,standard,organic,yes,14,47.690000,11.566000,-0.121900,0,0,3.880000,1.880000,0,0.066100,no_contact,0
S20260728-0003123,C00724,2024-03-01,north,standard,,no,28,50.690000,45.721000,,0,0,2.790000,5.910000,1,0.052900,no_contact,0
S20260728-0002390,C01191,2024-02-01,west,basic,advertising,no,15,29.740000,14.717000,-0.404800,0,1,4.630000,18.700000,0,0.075700,accepted_offer,0
S20260728-0005594,C00795,2024-05-01,west,basic,advertising,yes,12,27.880000,20.008000,0.226600,0,0,2.810000,2.900000,0,0.066300,no_contact,0
S20260728-0001890,C00691,2024-02-01,south,basic,organic,no,9,30.960000,,-0.152700,1,0,3.880000,6.910000,0,0.128300,no_contact,0
S20260728-0001247,C00048,2024-02-01,north,premium,organic,no,47,704.410000,17.566000,-0.214400,0,1,3.840000,10.740000,0,0.169600,accepted_offer,0
S20260728-0006539,C00540,2024-06-01,north,basic,referral,yes,23,26.860000,48.685000,0.113100,2,0,2.030000,3.070000,1,0.873100,cancelled,1
S20260728-0002334,C01135,2024-02-01,south,basic,referral,no,47,29.840000,17.433000,-0.191700,0,0,3.490000,10.030000,0,0.983600,cancelled,1
S20260728-0004205,C00606,2024-04-01,south,standard,organic,yes,17,47.910000,31.806000,0.125200,0,0,4.870000,1.200000,0,0.965400,cancelled,1
S20260728-0000024,C00025,2024-01-01,north,basic,advertising,yes,27,27.670000,18.091000,-0.234900,0,0,,2.240000,0,0.132000,no_contact,0
S20260728-0006653,C00654,2024-06-01,west,premium,organic,no,52,80.340000,42.760000,-0.221500,0,0,4.630000,3.420000,0,0.060800,no_contact,0
S20260728-0007799,C00600,2024-07-01,east,premium,partner,yes,50,80.860000,20.191000,0.085500,1,0,3.400000,5.820000,2,0.080900,no_contact,0
S20260728-0005769,C00970,2024-05-01,north,basic,organic,no,51,30.050000,40.032000,0.070400,0,0,2.820000,1.090000,1,0.123800,accepted_offer,0
S20260728-0000638,C00639,2024-01-01,south,standard,partner,no,28,45.930000,66.173000,0.074400,0,0,3.230000,2.170000,0,0.165500,no_contact,0
S20260728-0003947,C00348,2024-04-01,south,basic,advertising,yes,16,27.890000,26.038000,-0.237400,3,0,2.640000,9.810000,3,0.029500,no_contact,0
S20260728-0007197,C01198,2024-06-01,north,standard,advertising,no,50,47.080000,46.009000,0.315400,0,0,4.130000,7.730000,0,0.143100,no_contact,0
S20260728-0001245,C00046,2024-02-01,east,standard,partner,yes,37,47.190000,21.092000,-0.001400,0,0,4.350000,7.090000,0,0.000000,accepted_offer,0
S20260728-0008666,C00267,2024-08-01,east,basic,referral,yes,52,30.150000,6.499000,,0,0,4.400000,9.250000,0,0.796800,cancelled,1
S20260728-0002242,C01043,2024-02-01,west,standard,advertising,yes,43,52.360000,25.477000,-0.255800,1,0,3.320000,12.260000,0,0.058800,no_contact,0
S20260728-0004572,C00973,2024-04-01,west,standard,organic,yes,50,50.960000,21.324000,-0.283900,1,0,3.910000,7.810000,0,0.133900,no_contact,0
S20260728-0000919,C00920,2024-01-01,south,basic,referral,no,21,28.730000,22.514000,0.124800,0,1,3.870000,24.110000,0,0.000000,no_contact,0
S20260728-0005924,C01125,2024-05-01,south,standard,advertising,yes,31,48.680000,23.172000,-0.063000,3,0,1.910000,6.910000,1,0.894900,cancelled,1
S20260728-0001158,C01159,2024-01-01,east,basic,advertising,yes,16,30.880000,32.407000,,1,0,2.390000,2.460000,0,0.066000,no_contact,0
S20260728-0006270,C00271,2024-06-01,west,standard,referral,no,52,51.920000,34.574000,-0.091300,0,0,4.170000,4.990000,0,0.043100,no_contact,0
S20260728-0005016,C00217,2024-05-01,north,basic,organic,yes,6,28.960000,25.874000,-0.030700,0,0,4.160000,10.080000,0,0.096200,no_contact,0
S20260728-0005029,C00230,2024-05-01,north,basic,referral,yes,29,29.400000,49.812000,0.054000,0,0,2.670000,7.270000,0,0.084200,no_contact,0
S20260728-0008711,C00312,2024-08-01,north,standard,referral,no,39,50.320000,52.065000,-0.145300,1,0,3.800000,12.410000,1,0.054400,no_contact,0
S20260728-0000298,C00299,2024-01-01,west,standard,advertising,yes,43,46.330000,123.624000,-0.028300,0,0,3.240000,2.910000,1,0.164500,no_contact,0
S20260728-0009347,C00948,2024-08-01,east,premium,organic,no,26,78.910000,31.652000,-0.248600,1,0,3.410000,8.440000,1,0.163600,accepted_offer,0
S20260728-0000313,C00314,2024-01-01,north,basic,advertising,no,30,27.630000,35.057000,-0.054700,0,0,4.240000,9.570000,0,0.042600,no_contact,0
S20260728-0001528,C00329,2024-02-01,south,standard,referral,yes,27,49.040000,9.596000,-0.414100,0,0,2.360000,14.560000,0,0.037800,no_contact,0
S20260728-0004163,C00564,2024-04-01,west,basic,referral,yes,31,26.060000,11.373000,,0,0,4.330000,9.410000,0,0.068600,no_contact,0
S20260728-0005904,C01105,2024-05-01,east,standard,referral,yes,21,48.870000,31.150000,0.120900,0,0,2.690000,3.160000,0,0.223500,no_contact,0
S20260728-0009497,C01098,2024-08-01,south,basic,organic,yes,28,31.030000,,-0.188800,1,0,2.750000,4.810000,2,0.037600,no_contact,0
S20260728-0003086,C00687,2024-03-01,east,premium,advertising,yes,9,77.860000,25.819000,-0.218600,0,0,3.330000,8.590000,0,0.043600,no_contact,0
S20260728-0006816,C00817,2024-06-01,north,standard,organic,no,8,47.790000,32.641000,-0.228200,1,0,3.660000,6.630000,1,0.071800,no_contact,0
S20260728-0005544,C00745,2024-05-01,north,basic,advertising,yes,29,32.290000,16.480000,-0.182200,0,0,4.100000,7.540000,0,0.161400,no_contact,0
S20260728-0003702,C00103,2024-04-01,east,standard,organic,yes,40,49.280000,23.156000,-0.257600,1,0,2.780000,8.810000,1,0.065600,accepted_offer,0
S20260728-0001164,C01165,2024-01-01,south,premium,referral,yes,3,77.600000,31.787000,0.135000,0,0,,6.900000,0,0.097800,no_contact,0
S20260728-0001410,C00211,2024-02-01,west,basic,organic,no,34,33.160000,20.974000,-0.174600,1,0,4.280000,2.350000,1,0.822600,cancelled,1
S20260728-0001923,C00724,2024-02-01,north,standard,organic,no,27,51.400000,41.803000,,1,0,2.870000,3.260000,0,0.040300,no_contact,0
S20260728-0008296,C01097,2024-07-01,east,standard,partner,yes,11,50.760000,18.344000,-0.327600,0,0,3.010000,8.200000,0,0.151900,no_contact,0
S20260728-0001117,C01118,2024-01-01,north,standard,advertising,no,34,47.900000,42.706000,0.124500,0,0,2.930000,2.920000,0,0.125200,no_contact,0
S20260728-0001544,C00345,2024-02-01,west,standard,referral,no,20,49.400000,,-0.405400,1,0,3.320000,10.510000,1,0.000000,no_contact,0
S20260728-0000549,C00550,2024-01-01,east,basic,advertising,yes,43,30.830000,5.529000,-0.419800,1,0,3.900000,7.560000,0,0.138000,no_contact,0
S20260728-0004905,C00106,2024-05-01,east,premium,advertising,no,7,78.320000,24.976000,-0.226000,0,1,3.550000,4.730000,1,0.098200,no_contact,0
S20260728-0002172,C00973,2024-02-01,west,standard,organic,yes,48,52.470000,19.521000,-0.445100,2,0,3.100000,7.120000,1,0.005300,no_contact,0
S20260728-0003391,C00992,2024-03-01,south,basic,partner,yes,4,27.640000,22.814000,0.203200,1,0,3.470000,6.750000,0,0.199000,no_contact,0
S20260728-0003370,C00971,2024-03-01,west,basic,referral,yes,33,29.750000,13.170000,-0.207800,2,0,2.520000,3.940000,1,0.095200,accepted_offer,0
S20260728-0003865,C00266,2024-04-01,east,standard,organic,yes,49,51.880000,14.164000,-0.216300,0,0,3.900000,11.360000,0,0.045700,no_contact,0
S20260728-0007140,C01141,2024-06-01,east,standard,organic,no,14,51.020000,83.016000,0.276600,0,1,3.050000,5.010000,0,0.870600,retained_after_offer,1
S20260728-0002219,C01020,2024-02-01,east,standard,organic,yes,2,46.680000,6.368000,-0.192600,1,0,4.690000,2.020000,1,0.027300,no_contact,0
S20260728-0000886,C00887,2024-01-01,north,standard,,yes,1,47.380000,49.587000,-0.157900,0,0,4.080000,6.070000,0,0.103900,no_contact,0
S20260728-0009062,C00663,2024-08-01,east,basic,advertising,yes,19,28.070000,10.377000,-0.663600,1,0,4.280000,8.090000,3,0.000000,no_contact,0
S20260728-0006060,C00061,2024-06-01,west,basic,organic,yes,39,29.610000,10.035000,-0.102200,1,1,2.710000,4.870000,0,0.102900,no_contact,0
S20260728-0008049,C00850,2024-07-01,north,premium,referral,no,16,80.450000,14.728000,-0.027900,0,0,3.820000,5.200000,0,0.101700,no_contact,0
S20260728-0007087,C01088,2024-06-01,west,basic,advertising,yes,37,28.950000,17.137000,-0.206200,1,1,2.990000,18.570000,2,0.850500,cancelled,1
S20260728-0008082,C00883,2024-07-01,west,basic,advertising,no,49,31.050000,,-0.239500,1,2,2.000000,7.290000,1,0.876200,cancelled,1
S20260728-0001213,C00014,2024-02-01,west,standard,,no,25,51.120000,55.271000,0.454500,0,1,4.040000,7.200000,0,0.000000,no_contact,0
S20260728-0004074,C00475,2024-04-01,north,standard,referral,no,48,49.130000,20.718000,-0.127400,1,0,3.290000,2.900000,0,0.028300,no_contact,0
S20260728-0009574,C01175,2024-08-01,south,standard,partner,yes,40,49.220000,12.931000,-0.381100,2,1,2.530000,9.450000,2,0.077900,no_contact,0
S20260728-0000243,C00244,2024-01-01,west,standard,advertising,yes,13,46.980000,36.863000,-0.011700,0,0,3.610000,4.530000,0,0.080500,no_contact,0
S20260728-0005250,C00451,2024-05-01,north,premium,organic,yes,5,80.550000,11.545000,-0.133800,0,0,2.460000,7.120000,0,0.136500,no_contact,0
S20260728-0003255,C00856,2024-03-01,east,standard,organic,yes,9,456.280000,10.443000,-0.412000,1,0,4.180000,7.180000,1,0.096300,no_contact,0
S20260728-0008262,C01063,2024-07-01,east,basic,organic,yes,33,28.710000,24.903000,-0.015200,3,0,3.000000,16.340000,2,0.896900,cancelled,1
S20260728-0005750,C00951,2024-05-01,south,basic,organic,no,17,28.790000,24.713000,-0.167000,0,2,3.410000,10.540000,1,0.031700,accepted_offer,0
S20260728-0007729,C00530,2024-07-01,east,premium,advertising,no,9,79.980000,,0.028200,1,1,,8.760000,1,0.066600,no_contact,0
S20260728-0001390,C00191,2024-02-01,east,basic,advertising,yes,34,25.630000,92.296000,0.128300,0,0,3.430000,18.340000,0,0.199200,no_contact,0
S20260728-0000683,C00684,2024-01-01,east,basic,referral,no,31,28.400000,24.154000,-0.100800,1,1,4.390000,14.340000,2,0.924100,cancelled,1
S20260728-0003461,C01062,2024-03-01,east,standard,advertising,yes,18,49.160000,48.428000,-0.093000,1,0,3.880000,9.410000,2,0.176000,no_contact,0
S20260728-0004239,C00640,2024-04-01,west,standard,advertising,yes,22,48.230000,10.828000,,1,0,3.600000,10.480000,0,0.105500,no_contact,0
S20260728-0004932,C00133,2024-05-01,south,basic,advertising,yes,20,28.740000,27.041000,-0.244300,1,0,4.540000,4.910000,2,0.081200,no_contact,0
S20260728-0003913,C00314,2024-04-01,north,basic,advertising,no,33,25.860000,24.876000,-0.282500,1,0,4.280000,12.810000,1,0.087300,no_contact,0
S20260728-0005242,C00443,2024-05-01,east,basic,organic,yes,15,32.310000,46.175000,-0.095000,0,0,3.730000,4.130000,0,0.000000,no_contact,0
S20260728-0005721,C00922,2024-05-01,south,standard,advertising,yes,46,46.630000,22.715000,0.061900,0,0,3.600000,1.400000,1,0.001900,accepted_offer,0
S20260728-0003701,C00102,2024-04-01,south,basic,advertising,yes,15,29.290000,17.358000,-0.415600,1,1,2.860000,11.320000,2,0.120100,no_contact,0
S20260728-0007628,C00429,2024-07-01,north,basic,organic,yes,25,27.160000,17.865000,-0.106200,1,0,2.960000,5.560000,0,0.069500,accepted_offer,0
S20260728-0009437,C01038,2024-08-01,west,basic,advertising,yes,43,32.090000,18.561000,-0.229800,1,0,2.780000,9.060000,1,0.073600,accepted_offer,0
S20260728-0006978,C00979,2024-06-01,north,premium,organic,no,8,76.380000,,-0.268900,1,1,2.440000,10.320000,2,0.893800,cancelled,1
S20260728-0006553,C00554,2024-06-01,north,basic,referral,yes,28,27.850000,49.493000,0.096200,0,0,3.610000,4.090000,1,0.057400,no_contact,0
S20260728-0000760,C00761,2024-01-01,south,basic,organic,yes,7,29.760000,25.080000,-0.080600,0,0,3.740000,2.600000,0,0.905300,cancelled,1
S20260728-0000607,C00608,2024-01-01,west,standard,referral,no,30,47.560000,,,0,0,2.950000,13.840000,0,0.164100,accepted_offer,0
S20260728-0005170,C00371,2024-05-01,north,standard,partner,yes,14,52.400000,20.267000,-0.176600,0,0,3.390000,10.140000,0,0.040500,no_contact,0
S20260728-0001266,C00067,2024-02-01,south,premium,organic,yes,11,76.860000,19.410000,-0.009300,1,0,3.420000,9.830000,2,0.071800,no_contact,0
S20260728-0007611,C00412,2024-07-01,south,standard,advertising,yes,38,48.680000,31.783000,0.101700,1,0,2.450000,9.040000,1,0.065300,no_contact,0
S20260728-0007714,C00515,2024-07-01,north,standard,partner,yes,40,47.550000,27.346000,-0.212900,1,0,3.450000,2.090000,0,0.936800,cancelled,1
S20260728-0003095,C00696,2024-03-01,east,basic,organic,yes,41,32.720000,,-0.158600,0,1,4.080000,7.530000,0,0.055900,no_contact,0
S20260728-0007130,C01131,2024-06-01,east,standard,organic,yes,27,51.150000,18.013000,-0.294900,0,0,3.040000,6.710000,1,0.148400,no_contact,0
S20260728-0004841,C00042,2024-05-01,south,standard,organic,yes,49,48.840000,55.459000,-0.122700,0,0,3.250000,14.980000,0,0.135900,no_contact,0
S20260728-0008567,C00168,2024-08-01,east,basic,advertising,yes,10,29.410000,62.282000,-0.149900,1,0,3.190000,12.750000,1,0.000000,no_contact,0
S20260728-0003697,C00098,2024-04-01,east,standard,organic,yes,31,46.640000,17.203000,-0.367800,1,0,2.980000,11.800000,0,0.004700,no_contact,0
S20260728-0001040,C01041,2024-01-01,south,basic,advertising,yes,40,31.620000,62.501000,0.041700,0,0,3.140000,1.480000,0,0.089600,no_contact,0
S20260728-0003435,C01036,2024-03-01,south,basic,advertising,no,15,29.790000,22.437000,-0.167900,1,0,4.150000,17.520000,0,0.115700,no_contact,0
S20260728-0007572,C00373,2024-07-01,south,standard,,yes,7,50.930000,19.858000,-0.624300,2,0,,6.800000,0,0.136200,no_contact,0
S20260728-0008129,C00930,2024-07-01,east,basic,partner,yes,33,29.090000,19.686000,-0.112100,2,0,3.090000,9.140000,2,0.084200,accepted_offer,0
S20260728-0008957,C00558,2024-08-01,west,standard,organic,no,14,49.610000,43.033000,0.002200,1,0,2.270000,7.350000,0,0.000000,accepted_offer,0
S20260728-0008327,C01128,2024-07-01,east,basic,partner,yes,7,28.330000,23.502000,-0.020000,0,0,,6.080000,0,0.082700,no_contact,0
S20260728-0008295,C01096,2024-07-01,east,basic,advertising,no,25,26.520000,37.584000,-0.252300,1,0,3.290000,8.720000,0,0.009100,no_contact,0
S20260728-0005187,C00388,2024-05-01,north,basic,advertising,yes,29,30.910000,29.223000,-0.306900,2,0,2.700000,5.260000,0,0.034300,no_contact,0
S20260728-0000527,C00528,2024-01-01,west,basic,advertising,no,12,27.450000,28.460000,0.320400,0,0,2.860000,2.980000,0,0.115800,no_contact,0
S20260728-0001668,C00469,2024-02-01,north,standard,advertising,no,14,49.760000,49.440000,-0.069600,2,0,2.290000,20.170000,2,0.060700,no_contact,0
S20260728-0008353,C01154,2024-07-01,east,basic,organic,no,31,27.470000,,,0,0,4.950000,3.890000,0,0.135700,no_contact,0
S20260728-0007167,C01168,2024-06-01,north,premium,organic,yes,42,79.590000,88.676000,0.122500,0,0,3.430000,6.620000,0,0.101200,no_contact,0
S20260728-0008592,C00193,2024-08-01,east,basic,advertising,yes,28,29.280000,13.161000,-0.140000,0,0,3.040000,1.640000,1,0.948900,cancelled,1
S20260728-0008780,C00381,2024-08-01,north,basic,advertising,yes,12,28.330000,58.241000,-0.093400,0,0,3.830000,6.660000,3,0.076900,no_contact,0
S20260728-0002225,C01026,2024-02-01,west,basic,advertising,yes,26,27.550000,21.645000,-0.310900,2,0,3.130000,7.350000,2,0.042700,no_contact,0
S20260728-0004035,C00436,2024-04-01,west,basic,advertising,no,39,25.800000,24.366000,-0.295300,1,1,,8.530000,0,0.999700,cancelled,1
